display  D   display_settings.c:191  debug_display_settings           [   0.02534] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.02536] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02537] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.02538] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02539] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02540] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02541] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02542] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02543] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02544] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02545] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02546] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02547] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02548] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02549] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02551] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02552] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02553] Vsync requirement not met.
